task_id,occupation,task_text,ability_name,weight,uncertain
9605,Landscaping and Groundskeeping Workers,"Care for natural turf fields, making sure the underlying soil has the required composition to allow proper drainage and to support the grasses.",Problem Sensitivity,3,0
9605,Landscaping and Groundskeeping Workers,"Care for natural turf fields, making sure the underlying soil has the required composition to allow proper drainage and to support the grasses.",Inductive Reasoning,2,0
9605,Landscaping and Groundskeeping Workers,"Care for natural turf fields, making sure the underlying soil has the required composition to allow proper drainage and to support the grasses.",Near Vision,2,0
9605,Landscaping and Groundskeeping Workers,"Care for natural turf fields, making sure the underlying soil has the required composition to allow proper drainage and to support the grasses.",Selective Attention,1,0
9605,Landscaping and Groundskeeping Workers,"Care for natural turf fields, making sure the underlying soil has the required composition to allow proper drainage and to support the grasses.",Static Strength,1,1
9608,Landscaping and Groundskeeping Workers,Advise customers on plant selection or care.,Oral Expression,3,0
9608,Landscaping and Groundskeeping Workers,Advise customers on plant selection or care.,Oral Comprehension,2,0
9608,Landscaping and Groundskeeping Workers,Advise customers on plant selection or care.,Speech Clarity,1,0
9608,Landscaping and Groundskeeping Workers,Advise customers on plant selection or care.,Category Flexibility,1,0
9607,Landscaping and Groundskeeping Workers,"Haul or spread topsoil, or spread straw over seeded soil to hold soil in place.",Static Strength,3,0
9607,Landscaping and Groundskeeping Workers,"Haul or spread topsoil, or spread straw over seeded soil to hold soil in place.",Dynamic Strength,2,0
9607,Landscaping and Groundskeeping Workers,"Haul or spread topsoil, or spread straw over seeded soil to hold soil in place.",Trunk Strength,2,0
9607,Landscaping and Groundskeeping Workers,"Haul or spread topsoil, or spread straw over seeded soil to hold soil in place.",Stamina,2,0
9607,Landscaping and Groundskeeping Workers,"Haul or spread topsoil, or spread straw over seeded soil to hold soil in place.",Gross Body Coordination,1,0
9614,Landscaping and Groundskeeping Workers,Build forms and mix and pour cement to form garden borders.,Static Strength,3,0
9614,Landscaping and Groundskeeping Workers,Build forms and mix and pour cement to form garden borders.,Trunk Strength,2,0
9614,Landscaping and Groundskeeping Workers,Build forms and mix and pour cement to form garden borders.,Manual Dexterity,2,0
9614,Landscaping and Groundskeeping Workers,Build forms and mix and pour cement to form garden borders.,Control Precision,2,0
9614,Landscaping and Groundskeeping Workers,Build forms and mix and pour cement to form garden borders.,Near Vision,1,0
11228,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Mix pesticides, herbicides, or fungicides for application to trees, shrubs, lawns, or botanical crops.",Number Facility,2,0
11228,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Mix pesticides, herbicides, or fungicides for application to trees, shrubs, lawns, or botanical crops.",Near Vision,2,0
11228,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Mix pesticides, herbicides, or fungicides for application to trees, shrubs, lawns, or botanical crops.",Manual Dexterity,1,0
11228,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Mix pesticides, herbicides, or fungicides for application to trees, shrubs, lawns, or botanical crops.",Information Ordering,1,0
11227,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Fill sprayer tanks with water and chemicals, according to formulas.",Number Facility,2,0
11227,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Fill sprayer tanks with water and chemicals, according to formulas.",Near Vision,2,0
11227,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Fill sprayer tanks with water and chemicals, according to formulas.",Manual Dexterity,1,0
11227,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Fill sprayer tanks with water and chemicals, according to formulas.",Static Strength,1,0
11230,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Lift, push, and swing nozzles, hoses, and tubes to direct spray over designated areas.",Dynamic Strength,3,0
11230,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Lift, push, and swing nozzles, hoses, and tubes to direct spray over designated areas.",Multilimb Coordination,2,0
11230,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Lift, push, and swing nozzles, hoses, and tubes to direct spray over designated areas.",Arm-Hand Steadiness,2,0
11230,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Lift, push, and swing nozzles, hoses, and tubes to direct spray over designated areas.",Static Strength,2,0
11230,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Lift, push, and swing nozzles, hoses, and tubes to direct spray over designated areas.",Trunk Strength,1,0
20762,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Identify lawn or plant diseases to determine the appropriate course of treatment.,Problem Sensitivity,3,0
20762,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Identify lawn or plant diseases to determine the appropriate course of treatment.,Inductive Reasoning,2,0
20762,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Identify lawn or plant diseases to determine the appropriate course of treatment.,Near Vision,2,0
20762,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Identify lawn or plant diseases to determine the appropriate course of treatment.,Category Flexibility,1,0
20762,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Identify lawn or plant diseases to determine the appropriate course of treatment.,Visual Color Discrimination,1,1
11229,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Cover areas to specified depths with pesticides, applying knowledge of weather conditions, droplet sizes, elevation-to-distance ratios, and obstructions.",Spatial Orientation,2,0
11229,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Cover areas to specified depths with pesticides, applying knowledge of weather conditions, droplet sizes, elevation-to-distance ratios, and obstructions.",Rate Control,2,0
11229,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Cover areas to specified depths with pesticides, applying knowledge of weather conditions, droplet sizes, elevation-to-distance ratios, and obstructions.",Control Precision,2,0
11229,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Cover areas to specified depths with pesticides, applying knowledge of weather conditions, droplet sizes, elevation-to-distance ratios, and obstructions.",Mathematical Reasoning,1,0
11229,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Cover areas to specified depths with pesticides, applying knowledge of weather conditions, droplet sizes, elevation-to-distance ratios, and obstructions.",Problem Sensitivity,1,0
11231,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Start motors and engage machinery, such as sprayer agitators or pumps or portable spray equipment.",Manual Dexterity,2,0
11231,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Start motors and engage machinery, such as sprayer agitators or pumps or portable spray equipment.",Control Precision,2,0
11231,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Start motors and engage machinery, such as sprayer agitators or pumps or portable spray equipment.",Multilimb Coordination,1,0
11231,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Start motors and engage machinery, such as sprayer agitators or pumps or portable spray equipment.",Near Vision,1,0
11232,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Connect hoses and nozzles selected according to terrain, distribution pattern requirements, types of infestations, and velocities.",Manual Dexterity,2,0
11232,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Connect hoses and nozzles selected according to terrain, distribution pattern requirements, types of infestations, and velocities.",Control Precision,2,0
11232,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Connect hoses and nozzles selected according to terrain, distribution pattern requirements, types of infestations, and velocities.",Problem Sensitivity,1,0
11232,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Connect hoses and nozzles selected according to terrain, distribution pattern requirements, types of infestations, and velocities.",Near Vision,1,0
11233,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Clean or service machinery to ensure operating efficiency, using water, gasoline, lubricants, or hand tools.",Manual Dexterity,2,0
11233,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Clean or service machinery to ensure operating efficiency, using water, gasoline, lubricants, or hand tools.",Finger Dexterity,1,0
11233,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Clean or service machinery to ensure operating efficiency, using water, gasoline, lubricants, or hand tools.",Near Vision,1,0
11233,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Clean or service machinery to ensure operating efficiency, using water, gasoline, lubricants, or hand tools.",Arm-Hand Steadiness,1,0
11234,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Provide driving instructions to truck drivers to ensure complete coverage of designated areas, using hand and horn signals.",Oral Expression,2,0
11234,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Provide driving instructions to truck drivers to ensure complete coverage of designated areas, using hand and horn signals.",Spatial Orientation,2,0
11234,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Provide driving instructions to truck drivers to ensure complete coverage of designated areas, using hand and horn signals.",Far Vision,1,0
11234,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Provide driving instructions to truck drivers to ensure complete coverage of designated areas, using hand and horn signals.",Selective Attention,1,0
11235,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Plant grass with seed spreaders, and operate straw blowers to cover seeded areas with mixtures of asphalt and straw.",Manual Dexterity,2,0
11235,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Plant grass with seed spreaders, and operate straw blowers to cover seeded areas with mixtures of asphalt and straw.",Static Strength,2,0
11235,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Plant grass with seed spreaders, and operate straw blowers to cover seeded areas with mixtures of asphalt and straw.",Multilimb Coordination,1,0
11235,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Plant grass with seed spreaders, and operate straw blowers to cover seeded areas with mixtures of asphalt and straw.",Stamina,1,0
13120,Tree Trimmers and Pruners,"Operate shredding and chipping equipment, and feed limbs and brush into the machines.",Control Precision,3,0
13120,Tree Trimmers and Pruners,"Operate shredding and chipping equipment, and feed limbs and brush into the machines.",Multilimb Coordination,2,0
13120,Tree Trimmers and Pruners,"Operate shredding and chipping equipment, and feed limbs and brush into the machines.",Reaction Time,2,0
13120,Tree Trimmers and Pruners,"Operate shredding and chipping equipment, and feed limbs and brush into the machines.",Manual Dexterity,2,0
13120,Tree Trimmers and Pruners,"Operate shredding and chipping equipment, and feed limbs and brush into the machines.",Selective Attention,2,0
13113,Tree Trimmers and Pruners,"Operate boom trucks, loaders, stump chippers, brush chippers, tractors, power saws, trucks, sprayers, and other equipment and tools.",Control Precision,3,0
13113,Tree Trimmers and Pruners,"Operate boom trucks, loaders, stump chippers, brush chippers, tractors, power saws, trucks, sprayers, and other equipment and tools.",Multilimb Coordination,2,0
13113,Tree Trimmers and Pruners,"Operate boom trucks, loaders, stump chippers, brush chippers, tractors, power saws, trucks, sprayers, and other equipment and tools.",Reaction Time,2,0
